Due_date,Due_month,Due_band,Tenure_band,new_old,disbursal_category,reloan_type,payment_tenure,state,zone,cnt_due,amt_due,cnt_paid,collection_amount,sanction_amount
2025-10-30,2025-10-01,<10K,41-45D,Old,NF,re_loan_normal_approved,plus_5,UTTAR PRADESH,North,1,3400.0,1,3775,2500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,BIHAR,East,11,50380.0,0,2000,45000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,E,,plus_90+,UTTAR PRADESH,North,3,40560.0,0,,31000.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,KARNATAKA,South,5,20125.0,0,,15500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,PUNJAB,North,3,18315.0,0,,14500.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_15,ANDHRA PRADESH,South,1,13400.0,1,23332,23000.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,BIHAR,East,2,11460.0,0,6000,9000.0
2025-10-30,2025-10-01,20K-30K,>45D,New,NF,,plus_90+,HARYANA,North,4,89558.0,0,,69400.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,DELHI,North,3,35920.0,0,,28000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,GUJARAT,West,10,52110.0,0,,42000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,MADHYA PRADESH,West,12,71690.0,0,3,62000.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_6,WEST BENGAL,East,2,6944.0,2,6944,5200.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,plus_1,UTTAR PRADESH,North,3,19215.0,3,20810,14500.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,plus_1,UTTARAKHAND,North,1,3752.0,1,4060,2800.0
2025-10-30,2025-10-01,<10K,>45D,Old,NF,re_loan_normal_approved,plus_90+,UTTAR PRADESH,North,3,22666.0,0,,17900.0
2025-10-30,2025-10-01,<10K,36-40D,New,NF,,plus_3,GUJARAT,West,1,7906.0,1,7906,5900.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,DD,UTTAR PRADESH,North,5,29860.0,5,29860,22500.0
2025-10-30,2025-10-01,<10K,41-45D,New,D,,plus_11_15,UTTAR PRADESH,North,2,10600.0,2,11020,14000.0
2025-10-30,2025-10-01,20K-30K,>45D,New,NF,,plus_90+,TELANGANA,South,2,47380.0,0,,37000.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_1,TAMIL NADU,South,3,18944.0,3,18944,14200.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,TELANGANA,South,9,118050.0,0,29100,94500.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,UTTAR PRADESH,North,8,112236.0,0,,87900.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_2,TAMIL NADU,South,1,5226.0,1,5226,3900.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_15,TELANGANA,South,1,2680.0,1,4284,4100.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,UTTAR PRADESH,North,5,25900.0,1,14000,21000.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,ANDHRA PRADESH,South,2,11410.0,0,,9000.0
2025-10-30,2025-10-01,<10K,36-40D,New,A,,plus_6,DELHI,North,1,9380.0,1,9480,7000.0
2025-10-30,2025-10-01,10K-20K,31-35D,New,NF,,DD,GUJARAT,West,1,10720.0,1,4200,32000.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_1,MAHARASHTRA,West,3,15920.0,3,14560,14000.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_15,MAHARASHTRA,West,0,0.0,0,760,28000.0
2025-10-30,2025-10-01,<10K,<15D,New,NF,,minus_15,GUJARAT,West,2,7520.0,2,11130,18200.0
2025-10-30,2025-10-01,<10K,<15D,New,NF,,minus_15,UTTAR PRADESH,North,8,21652.0,7,20490,18600.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,UTTARAKHAND,North,2,11180.0,0,,9000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_26_30 ,BIHAR,East,2,8640.0,1,5891,7000.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_1,KARNATAKA,South,3,18480.0,3,13979,14000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,RAJASTHAN,North,14,83130.0,0,6501,86000.0
2025-10-30,2025-10-01,<10K,31-35D,New,B,,minus_1,GUJARAT,West,1,5544.0,1,5544,4200.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,HARYANA,North,14,79440.0,0,200,65000.0
2025-10-30,2025-10-01,10K-20K,21-25D,New,NF,,minus_7,MADHYA PRADESH,West,1,17160.0,1,17160,13000.0
2025-10-30,2025-10-01,<10K,26-30D,Old,NF,re_loan_normal_approved,minus_6,JHARKHAND,East,1,5676.0,1,5676,4300.0
2025-10-30,2025-10-01,20K-30K,21-25D,New,NF,,minus_7,KARNATAKA,South,1,20460.0,1,20460,15500.0
2025-10-30,2025-10-01,10K-20K,31-35D,New,B,,plus_1,KARNATAKA,South,1,15576.0,1,16874,11800.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_2,ASSAM,East,1,3300.0,1,3300,2500.0
2025-10-30,2025-10-01,<10K,26-30D,New,B,,minus_3,UTTAR PRADESH,North,1,5544.0,1,5544,4200.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,RAJASTHAN,North,3,35380.0,0,,28000.0
2025-10-30,2025-10-01,30K-40K,>45D,New,NF,,plus_90+,UTTARAKHAND,North,1,39600.0,0,2103,360000.0
2025-10-30,2025-10-01,30K-40K,>45D,New,NF,,plus_61_90,UTTARAKHAND,North,0,0.0,0,18009,870000.0
2025-10-30,2025-10-01,30K-40K,>45D,New,NF,,plus_31_60,UTTARAKHAND,North,0,0.0,0,9142,480000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,D,,plus_90+,MADHYA PRADESH,West,2,30200.0,0,,23000.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_15,CHHATTISGARH,East,1,3300.0,1,3300,2500.0
2025-10-30,2025-10-01,10K-20K,>45D,New,C,,plus_90+,MAHARASHTRA,West,1,11880.0,0,,9000.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_15,,,1,9240.0,1,9240,7000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,B,,plus_90+,GUJARAT,West,2,34890.0,1,28680,27000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,MAHARASHTRA,West,6,76180.0,0,,61000.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_6,HARYANA,North,1,7788.0,1,7788,5900.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_11_15,MAHARASHTRA,West,2,11464.0,1,3120,8700.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,BIHAR,East,4,59362.0,0,,47100.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_3,UTTAR PRADESH,North,3,18400.0,3,18400,14000.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_5,TAMIL NADU,South,1,4356.0,1,4356,3300.0
2025-10-30,2025-10-01,<10K,<15D,New,D,,minus_15,UTTAR PRADESH,North,1,4061.0,1,4061,3100.0
